,Gender,App,Offer
504,F,17.0,REJECT
505,F,17.5,Offer
506,M,17.5,OFFER
507,F,17.5,OFFER
508,F,17.5,OFFER
509,F,17.5,OFFER
510,F,17.5,OFFER
511,F,17.5,REJECT
512,M,18.0,OFFER
513,M,18.0,REJECT
514,F,18.5,OFFER
515,M,18.5,OFFER
516,F,18.5,REJECT
517,F,18.5,REJECT
518,M,18.5,REJECT
519,F,18.5,REJECT
520,M,18.5,REJECT
521,M,19.0,Offer
522,F,19.0,Offer
523,F,19.0,OFFER
524,N,19.0,OFFER
525,F,19.0,OFFER
526,F,19.0,REJECT
527,F,19.0,REJECT
528,M,19.0,REJECT
529,M,19.5,Offer
530,F,19.5,OFFER
531,F,19.5,OFFER
532,F,19.5,REJECT
533,F,20.0,OFFER
534,F,20.0,OFFER
535,M,20.0,REJECT
536,F,20.5,Offer
537,M,20.5,OFFER
538,M,21.0,OFFER
539,F,21.5,Offer
540,F,21.5,REJECT
541,F,,OFFER
542,,,Reject
543,F,,OFFER
544,F,,OFFER
545,Female,#VALUE!,Reject
546,Female,#VALUE!,Reject
547,Female,#VALUE!,Reject
548,Female,#VALUE!,Reject
549,Female,22.5,Reject
550,Male,22,Offer
551,Male,21.5,Offer
552,Male,21.5,Offer
553,Female,21,Reject
554,Male,21,Reject
555,Female,21,Offer
556,Male,20.5,Offer
557,Male,20.5,Offer
558,Male,20.5,Offer
559,Male,20,Offer
560,Male,20,Offer
561,Female,20,Reject
562,Female,20,Reject
563,Male,19.5,Reject
564,Male,19.5,Offer
565,Male,19.5,Offer
566,Male,19.5,Offer
567,Male,19.5,Offer
568,Male,19.5,Offer
569,Female,19.5,Offer
570,Female,19.5,Offer
571,Male,19.5,Offer
572,Female,19,Reject
573,Male,19,Reject
574,Female,19,Reject
575,Male,19,Reject
576,Female,19,Offer
577,Male,19,Offer
578,Female,19,Offer
579,Female,19,Offer
580,Male,19,Offer
581,Female,18.5,Reject
582,Female,18.5,Offer
583,Female,18.5,Offer
584,Female,18.5,Offer
585,Female,18.5,Offer
586,Female,18.5,Offer
587,Male,18,Reject
588,Female,18,Reject
589,Female,18,Offer
590,Female,18,Offer
591,Female,18,Offer
592,Male,18,Offer
593,Female,18,Offer
594,Male,18,Offer
595,Female,18,Offer
596,Female,18,Offer
597,Male,18,Reject
598,Male,17.5,Reject
599,Male,17.5,Offer
600,Female,17.5,Offer
601,Female,17.5,Offer
602,Male,17.5,Offer
603,Female,17.5,Offer
604,Female,17.5,Offer
605,Male,17.5,Offer
606,Female,17.5,Offer
607,Female,17.5,Offer
608,Male,17.5,Offer
609,Male,17.5,Offer
610,Female,17,Reject
611,Female,17,Reject
612,Male,17,Reject
613,Male,17,Offer
614,Male,17,Offer
615,Male,17,Offer
616,Female,17,Offer
617,Female,17,Offer
618,Female,16.5,Reject
619,Female,16.5,Reject
620,Female,16.5,Offer
621,Female,16.5,Offer
622,Female,16.5,Offer
623,Male,16.5,Offer
624,Male,16.5,Offer
625,Male,16.5,Offer
626,Male,16.5,Offer
627,Male,16.5,Offer
628,Female,16.5,Offer
629,Male,16.5,Offer
630,Female,16.5,Offer
631,Female,16.5,Offer
632,Male,16.5,Reject
633,Male,16,Reject
634,Female,16,Reject
635,Female,16,Reject
636,Male,16,Reject
637,Female,16,Offer
638,Female,16,Offer
639,Male,16,Offer
640,Male,16,Offer
641,Male,16,Offer
642,Female,16,Offer
643,Female,16,Offer
644,Male,16,Offer
645,Female,16,Offer
646,Female,15.5,Reject
647,Female,15.5,Reject
648,Male,15.5,Reject
649,Male,15.5,Reject
650,Female,15.5,Offer
651,Female,15.5,Offer
652,Female,15.5,Offer
653,Male,15.5,Offer
654,Male,15.5,Offer
655,Male,15.5,Offer
656,Male,15.5,Offer
657,Male,15.5,Reject
658,Male,15,Reject
659,Female,15,Reject
660,Female,15,Reject
661,Female,15,Reject
662,Female,15,Reject
663,Female,15,Reject
664,Male,15,Reject
665,Male,15,Reject
666,Male,15,Offer
667,Female,15,Offer
668,Male,15,Offer
669,Female,15,Offer
670,Female,15,Offer
671,Female,15,Offer
672,Female,15,Offer
673,Male,15,Offer
674,Male,15,Offer
675,Male,14.5,Reject
676,Female,14.5,Reject
677,Male,14.5,Reject
678,Male,14.5,Reject
679,Male,14.5,Reject
680,Male,14.5,Reject
681,Female,14.5,Reject
682,Male,14.5,Offer
683,Female,14.5,Offer
684,Male,14.5,Offer
685,Male,14.5,Offer
686,Male,14,Reject
687,Male,14,Reject
688,Female,14,Reject
689,Male,14,Reject
690,Female,14,Reject
691,Male,14,Reject
692,Female,14,Reject
693,Female,14,Reject
694,Female,14,Offer
695,Female,14,Offer
696,Male,13.5,Reject
697,Female,13.5,Reject
698,Male,13.5,Reject
699,Male,13.5,Reject
700,Male,13.5,Reject
701,Female,13.5,Reject
702,Male,13.5,Reject
703,Female,13.5,Offer
704,Male,13.5,Offer
705,Female,13.5,Offer
706,Male,13.5,Offer
707,Male,13.5,Offer
708,Male,13.5,Offer
709,Female,13.5,Offer
710,Male,13.5,Offer
711,Male,13.5,Offer
712,Female,13,Reject
713,Female,13,Reject
714,Male,13,Reject
715,Male,13,Reject
716,Male,13,Reject
717,Female,13,Reject
718,Male,13,Reject
719,Male,13,Reject
720,Male,13,Reject
721,Male,13,Reject
722,Female,13,Reject
723,Female,13,Reject
724,Male,13,Reject
725,Female,13,Offer
726,Female,13,Offer
727,Female,13,Offer
728,Male,13,Offer
729,Female,13,Offer
730,Female,13,Offer
731,Female,13,Offer
732,Female,13,Offer
733,Female,12.5,Reject
734,Male,12.5,Reject
735,Male,12.5,Reject
736,Female,12.5,Reject
737,Female,12.5,Offer
738,Female,12.5,Offer
739,Female,12.5,Offer
740,Male,12.5,Offer
741,Female,12,Reject
742,Female,12,Reject
743,Male,12,Reject
744,Male,12,Reject
745,Female,12,Offer
746,Female,12,Offer
747,Male,12,Offer
748,Female,11.5,Reject
749,Male,11.5,Reject
750,Male,11.5,Reject
751,Female,11.5,Reject
752,Female,11.5,Reject
753,Male,11.5,Offer
754,Female,11.5,Offer
755,Male,11.5,Offer
756,Male,11.5,Reject
757,Male,11,Reject
758,Male,11,Reject
759,Male,11,Reject
760,Unknown,11,Reject
761,Male,11,Reject
762,Female,11,Offer
763,Female,11,Offer
764,Male,11,Offer
765,Male,11,Offer
766,Male,10.5,Reject
767,Female,10.5,Reject
768,Male,10.5,Reject
769,Male,10.5,Reject
770,Female,10.5,Reject
771,Male,10.5,Reject
772,Male,10.5,Reject
773,Male,10,Reject
774,Male,10,Reject
775,Male,10,Reject
776,Male,10,Reject
777,Male,9.5,Reject
778,Male,9.5,Reject
779,Female,9.5,Reject
780,Female,9.5,Offer
781,Male,9.5,Offer
782,Male,9.5,Reject
783,Male,9,Offer
784,Male,8.5,Reject
785,Male,8.5,Reject
786,Female,8.5,Offer
787,Female,8.5,Offer
788,Female,8,Reject
789,Male,7,Reject
790,Male,6.5,Reject
791,Male,5.5,Reject
792,Male,2,Reject
793,Male,2,Reject
794,Female,1,Reject
795,Male,1,Reject
796,Male,,Reject
